,year,overall,rural,urban,geo,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,unmember,world_bank_region,income_groups
166,2004,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
167,2005,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
168,2006,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
169,2007,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
170,2008,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
171,2009,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
172,2010,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
173,2011,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
174,2012,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
175,2013,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
176,2014,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
177,2015,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
178,2016,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
179,2017,1,1,1,aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income
224,2008,1,,,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/09/1971,Middle East & North Africa,High income
225,2009,1,,,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/09/1971,Middle East & North Africa,High income
226,2010,1,,,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/09/1971,Middle East & North Africa,High income
227,2011,1,,,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/09/1971,Middle East & North Africa,High income
228,2012,1,,,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/09/1971,Middle East & North Africa,High income
229,2013,1,,,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/09/1971,Middle East & North Africa,High income
230,2014,1,,,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/09/1971,Middle East & North Africa,High income
231,2015,1,,,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/09/1971,Middle East & North Africa,High income
232,2016,1,,,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/09/1971,Middle East & North Africa,High income
233,2017,1,,,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,26.03333,50.55,21/09/1971,Middle East & North Africa,High income
628,2016,1,1,1,chl,Chile,americas,america_south,america,g77,-33.45694,-70.64827,24/10/1945,Latin America & Caribbean,High income
629,2017,1,1,1,chl,Chile,americas,america_south,america,g77,-33.45694,-70.64827,24/10/1945,Latin America & Caribbean,High income
1440,2000,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1441,2001,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1442,2002,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1443,2003,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1444,2004,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1445,2005,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1446,2006,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1447,2007,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1448,2008,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1449,2009,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1450,2010,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1451,2011,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1452,2012,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1453,2013,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1454,2014,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1455,2015,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1456,2016,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1457,2017,1,1,1,isr,Israel,asia,asia_west,middle_east_north_africa,others,31.5,34.75,11/05/1949,Middle East & North Africa,High income
1494,2000,1,,,jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income
1495,2001,1,,,jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income
1496,2002,1,,,jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income
1497,2003,1,,,jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income
1498,2004,1,,,jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income
1499,2005,1,,,jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income
1500,2006,1,,,jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income
1501,2007,1,,,jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income
1502,2008,1,,,jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income
1503,2009,1,,,jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income
1584,2000,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1585,2001,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1586,2002,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1587,2003,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1588,2004,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1589,2005,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1590,2006,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1591,2007,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1592,2008,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1593,2009,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1594,2010,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1595,2011,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1596,2012,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1597,2013,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1598,2014,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1599,2015,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1600,2016,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1601,2017,1,,,kwt,Kuwait,asia,asia_west,middle_east_north_africa,g77,29.36972,47.97833,14/05/1963,Middle East & North Africa,High income
1726,2016,1,,,lby,Libya,africa,africa_north,middle_east_north_africa,g77,28,17,14/12/1955,Middle East & North Africa,Upper middle income
1727,2017,1,,,lby,Libya,africa,africa_north,middle_east_north_africa,g77,28,17,14/12/1955,Middle East & North Africa,Upper middle income
1728,2000,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1729,2001,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1730,2002,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1731,2003,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1732,2004,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1733,2005,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1734,2006,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1735,2007,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1736,2008,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1737,2009,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1738,2010,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1739,2011,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1740,2012,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1741,2013,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1742,2014,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1743,2015,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1744,2016,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1745,2017,1,,,lie,Liechtenstein,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/09/1990,Europe & Central Asia,High income
1872,2000,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1873,2001,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1874,2002,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1875,2003,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1876,2004,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1877,2005,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1878,2006,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1879,2007,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1880,2008,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1881,2009,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1882,2010,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1883,2011,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1884,2012,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1885,2013,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1886,2014,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1887,2015,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1888,2016,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1889,2017,1,1,1,mlt,Malta,europe,europe_west,europe_central_asia,others,35.91667,14.43333,01/12/1964,Middle East & North Africa,High income
1998,2000,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
1999,2001,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2000,2002,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2001,2003,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2002,2004,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2003,2005,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2004,2006,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2005,2007,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2006,2008,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2007,2009,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2008,2010,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2009,2011,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2010,2012,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2011,2013,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2012,2014,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2013,2015,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2014,2016,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2015,2017,1,,1,mco,Monaco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/05/1993,Europe & Central Asia,High income
2178,2000,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2179,2001,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2180,2002,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2181,2003,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2182,2004,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2183,2005,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2184,2006,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2185,2007,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2186,2008,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2187,2009,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2188,2010,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2189,2011,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2190,2012,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2191,2013,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2192,2014,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2193,2015,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2194,2016,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2195,2017,1,1,1,nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income
2301,2015,1,1,1,omn,Oman,asia,asia_west,middle_east_north_africa,g77,21,57,07/10/1971,Middle East & North Africa,High income
2302,2016,1,1,1,omn,Oman,asia,asia_west,middle_east_north_africa,g77,21,57,07/10/1971,Middle East & North Africa,High income
2303,2017,1,1,1,omn,Oman,asia,asia_west,middle_east_north_africa,g77,21,57,07/10/1971,Middle East & North Africa,High income
2336,2014,1,1,1,plw,Palau,asia,east_asia_pacific,east_asia_pacific,others,7.503,134.621,15/12/1994,East Asia & Pacific,High income
2337,2015,1,1,1,plw,Palau,asia,east_asia_pacific,east_asia_pacific,others,7.503,134.621,15/12/1994,East Asia & Pacific,High income
2338,2016,1,1,1,plw,Palau,asia,east_asia_pacific,east_asia_pacific,others,7.503,134.621,15/12/1994,East Asia & Pacific,High income
2339,2017,1,1,1,plw,Palau,asia,east_asia_pacific,east_asia_pacific,others,7.503,134.621,15/12/1994,East Asia & Pacific,High income
2484,2000,1,,,qat,Qatar,asia,asia_west,middle_east_north_africa,g77,25.27932,51.52245,21/09/1971,Middle East & North Africa,High income
2485,2001,1,,,qat,Qatar,asia,asia_west,middle_east_north_africa,g77,25.27932,51.52245,21/09/1971,Middle East & North Africa,High income
2486,2002,1,,,qat,Qatar,asia,asia_west,middle_east_north_africa,g77,25.27932,51.52245,21/09/1971,Middle East & North Africa,High income
2487,2003,1,,,qat,Qatar,asia,asia_west,middle_east_north_africa,g77,25.27932,51.52245,21/09/1971,Middle East & North Africa,High income
2488,2004,1,,,qat,Qatar,asia,asia_west,middle_east_north_africa,g77,25.27932,51.52245,21/09/1971,Middle East & North Africa,High income
2489,2005,1,,,qat,Qatar,asia,asia_west,middle_east_north_africa,g77,25.27932,51.52245,21/09/1971,Middle East & North Africa,High income
2490,2006,1,,,qat,Qatar,asia,asia_west,middle_east_north_africa,g77,25.27932,51.52245,21/09/1971,Middle East & North Africa,High income
2491,2007,1,,,qat,Qatar,asia,asia_west,middle_east_north_africa,g77,25.27932,51.52245,21/09/1971,Middle East & North Africa,High income
2492,2008,1,,,qat,Qatar,asia,asia_west,middle_east_north_africa,g77,25.27932,51.52245,21/09/1971,Middle East & North Africa,High income
